RE-2_R2_CH14_B	9.66541	309.399	97.6631	9.27541	2.45105	2.18719	96.9708
RE-2_R2_CH14_C	9.62091	316.284	98.8232	9.24091	1.24061	2.27354	98.0668
RE-2_R3_CH14_B	9.82155	263.409	96.4624	9.40155	1.47236	1.61389	95.4905
RE-2_R3_CH14_C	9.72601	283.167	95.4083	9.32601	6.63615	1.60376	94.5889
RE-2_R2_CH20_A	9.79472	259.984	97.8288	9.36472	1.86052	2.0303	96.8269
RE-2_R2_CH20_B	9.74583	281.42	97.7339	9.33583	2.40059	2.46323	96.8722
RE-2_R2_CH20_C	9.70526	319.172	98.9547	9.32526	1.60175	2.36933	98.2252
RE-2_R3_CH20_B	9.77117	308.919	97.3422	9.38117	1.69986	1.68273	96.6581
RE-2_R3_CH20_C	9.78238	248.618	98.6311	9.33238	2.26519	2.01531	97.5867
RE-2_R2_CH26_A	9.67101	279.105	97.6212	9.26101	1.62062	2.18584	96.7316
RE-2_R2_CH26_B	9.64568	324.252	98.446	9.26568	1.58786	2.35837	97.7913
RE-2_R2_CH26_C	9.55415	323.377	99.0158	9.17415	1.14248	2.38675	98.3292
RE-2_R3_CH26_B	9.72308	321.587	98.8842	9.34308	1.56924	1.6582	98.184
RE-2_R3_CH26_C	9.81338	234.874	97.1423	9.35338	1.90053	2.16703	96.0196
RE-2_R2_CH15_A	9.64959	296.914	98.2528	9.24959	2.77651	1.95248	97.4782
RE-2_R2_CH15_B	9.71334	253.979	97.3063	9.27334	0.879562	2.32296	96.332
RE-2_R2_CH15_C	9.68126	284.849	99.2887	9.27126	1.357	2.53324	98.3982
RE-2_R3_CH15_B	9.7649	271.879	94.967	9.3549	1.47405	2.0467	94.1069
RE-2_R3_CH15_C	9.71039	306.646	94.4664	9.33039	2.81827	1.43889	93.7913
RE-2_R2_CH21_A	9.68953	243.554	98.3089	9.23953	1.40395	2.04161	97.1846
RE-2_R2_CH21_B	9.6361	317.074	95.8451	9.2561	2.13496	2.14855	95.2215
RE-2_R2_CH21_C	9.58378	288.571	98.6592	9.17378	1.3731	2.24484	97.8514
RE-2_R3_CH21_B	9.76623	273.373	94.6467	9.35623	2.87823	1.53513	93.8243
RE-2_R3_CH21_C	9.70524	310.721	95.9142	9.32524	0.733371	1.57868	95.222
RE-2_R2_CH27_A	9.76242	230.886	98.8066	9.29242	1.10254	2.28359	97.6
RE-2_R2_CH27_B	9.6521	296.342	95.6063	9.2621	0.945934	2.26464	94.8528
RE-2_R2_CH27_C	9.54917	246.99	99.6364	9.09917	4.35572	2.60736	98.4999
RE-2_R3_CH27_B	9.77157	297.893	97.1974	9.37157	1.27728	1.4675	96.4816
RE-2_R3_CH27_C	9.72435	289.275	97.9741	9.32435	0.576848	1.57264	97.1119
RE-2_R2_CH16_A	9.7223	248.417	98.5534	9.2723	1.15166	2.12991	97.5096
RE-2_R2_CH16_B	9.72292	297.531	98.0728	9.32292	0.938806	2.32433	97.314
RE-2_R2_CH16_C	9.59694	343.406	98.6231	9.22694	1.2789	2.27597	98.0563
RE-2_R3_CH16_B	9.73808	306.415	96.1126	9.34808	2.30942	1.42562	95.4522
RE-2_R3_CH16_C	9.68126	299.322	97.2565	9.29126	0.763398	1.44554	96.4636
RE-2_R2_CH22_A	9.57146	3945.19	96.8064	9.40146	31.7799	2.52904	96.8064
RE-2_R2_CH22_B	9.61525	1303.9	97.3685	9.40525	66.3574	2.12121	97.3673
RE-2_R2_CH22_C	9.62267	1126.85	98.7251	9.40267	71.9141	2.31072	98.7208
RE-2_R3_CH22_B	9.87705	255.892	100.477	9.43705	2.60978	1.68059	99.3541
RE-2_R3_CH22_C	9.81709	243.034	98.6167	9.36709	1.41055	1.81027	97.4624
RE-2_R2_CH28_A	9.75271	226.319	97.4842	9.28271	0.687636	2.12518	96.2598
RE-2_R2_CH28_B	9.67309	281.129	98.1843	9.26309	1.28707	2.10544	97.2956
RE-2_R2_CH28_C	9.63476	313.21	98.0911	9.24476	0.524927	2.4034	97.4222
RE-2_R3_CH28_B	9.81523	289.072	96.9322	9.41523	1.13978	1.31586	96.1183
RE-2_R3_CH28_C	9.79939	257.962	96.7628	9.36939	2.9021	1.50908	95.7858
RE-2_R2_CH17_A	9.79459	239.019	97.8522	9.33459	1.82573	2.14531	96.7712
RE-2_R2_CH17_B	9.69608	290.601	96.0437	9.29608	2.45255	2.01711	95.2911
RE-2_R2_CH17_C	9.71437	270.512	99.0127	9.29437	1.94451	2.4343	98.0175
RE-2_R3_CH17_B	9.69407	288.573	97.5806	9.29407	1.74748	1.73722	96.7283
RE-2_R3_CH17_C	9.69563	271.872	97.786	9.27563	0.834977	1.79876	96.8788
RE-2_R2_CH23_A	9.63422	279.285	97.4751	9.22422	2.18462	2.06243	96.5956
RE-2_R2_CH23_B	9.67285	282.198	96.6595	9.26285	0.783116	2.51953	95.861
RE-2_R2_CH23_C	9.69048	270.411	98.6889	9.27048	1.47223	2.76353	97.7099
RE-2_R3_CH23_B	9.80488	295.267	96.4529	9.40488	1.85443	1.73731	95.7385
RE-2_R3_CH23_C	9.74166	269.242	96.8552	9.32166	1.86765	1.84291	95.956
RE-2_R2_CH29_A	9.67381	244.275	98.904	9.22381	1.91685	2.74598	97.7573
RE-2_R2_CH29_B	9.63757	267.865	97.2808	9.21757	1.61387	2.3288	96.3372
